name,description,price,location,date_added
Nice And Spacious 12 Bedroom Detached House With Bq In Victoria Island,"Nice and Spacious 12 bedroom detached house with Bq and 4 sitting room for sale in Victoria Island Lagos . It has enough parking space with easy access , good for any type of corporate office and commercial uses

Property - 12 bedroom detached house
Location - Victoria Island
Price - N1.3 Billion",1100000000," Victoria Island (VI), Lagos",01-Dec-21
Ongoing Project Of 6 Units Contemporary 6 Bedrooms,"PROJECT COMPLETION; MAY 2022

Luxury 6 Units of 6 bedroom Detached Duplex with Smart Home features located in Victoria Island , Sharing Fence with Kuramo Waters Hotel with close proximity to Ikoyi, Oniru and Lekki Expressway.

This Fully Detached Duplex contains 6 ensuite bedrooms with 1 maid room and fully fitted kitchen, 2 living rooms, swimming Pool in a very Beautiful and Serene Environment

Features:


10KVA Inverter & Solar Panel
Top-of-the-line finishing
Fitted with Air Conditioners
Swimming pool
Automatic gate system
Smart lighting
Smart locks
Fitted kitchen with gas cooker, fridge ,win chiller and heat extrator
All homes have separate fire hydrants for emergencies

Price: N 550,000,000

Project Completion : MAY 2022",550000000," Off Ligali Ayorinde, Victoria Island (VI), Lagos",22-Nov-20
Tastefully Finished 4 Bedroom Fully Detached Duplex + Bq,"TASTEFULLY FINISHED 4 BEDROOM FULLY DETACHED DUPLEX FOR SALE !!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- spacious compound 4 bedroom with bq
_. clean house
- gated estate
- 24hrs electricity
- Massive compound space
- spacious parking space
- very secured environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- 2 family setting rooms
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high quality cabinets
-exit door
- ensuite with toilet and bathroom
- separated dinning space
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",235000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
Newly Built 4 Bedroom Pent House Duplex + Bq,"NEWLY BUILT 4 BEDROOM DUPLEX FOR SALE!!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- 4 Bedroom duplex on the top most floor , the pent house duplex with bq
- clean house
- Elevator
- swimming pool
- gym
- 24hrs electricity
- very secure environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high-quality cabinets
- ensuite with toilet and bathroom
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",275000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
3 Bedroom Apartment With Bq,"HIGH-RISE LUXURY RESIDENCE IN VICTORIA ISLAND, LAND

This luxury development comprises of 3bedroom luxury flat apartments with BQ

Location: Victoria Island, Lagos

PRICE:
3bedroom apartment - from N200m.

Facilities include :
Fully fitted kitchen
Pre-installed Air-conditioners
Fitted wardrobes
Top notch security doors
CCTV
Elevators
Gym
BQ etc

Completion date: September 2022",200000000," Oniru, Victoria Island (VI), Lagos",03-Mar-22
Exquisite 5 Bedroom Fully Detached Duplex With Swimming Pool And Bq,"Elegant 5 BEDROOM FULLY DETACHED DUPLEX, SWIMMING POOL and A ROOM BQ is located in a serene and secured environment and features custom made bespoke finishing, spacious compound, stamp concrete floor, swimming pool, spacious living room and family lounge, all rooms en-suite, fitted kitchen, spacious master bedroom, water heaters, CCTV, inbuilt speakers, carport and BQ
----------------------------------
PRICE: N300million
------------------------------
LOCATION: Oniru, Lagos
TITLE: Governor's Consent",300000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Newly Built 4 Bedroom Terrace Duplex With Swimming Pool And A Room Bq,"Newly built 4 BEDROOM TERRACE DUPLEX WITH COMMUNAL SWIMMING POOL and A ROOM BQ is located in a serviced and secured environment.
It features custom made bespoke finishing, spacious compound, interlocked concrete floor, all rooms en-suite, fitted kitchen(washing machine, refrigerator, microwave, oven, pantries, etc), spacious master bedroom, water heaters, 24hours security and 1 boys quarter.
---------------------------------
PRICE:
BASIC FINISHING: N160million
FULLY COMPLETED: N210million
------------------------------
LOCATION: Victoria Island, Lagos
TITLE: Governor's Consent",160000000," Victoria Island (VI), Lagos",Yesterday
Well Finished 5 Bedroom Detached Duplex With Bq Swimming Pool & Fully,"WELL FINISHED 5 BEDROOM DETACHED DUPLEX WITH BQ SWIMMING POOL & FULLY FITTED KITCHEN

Please Note: Viewing of this property is strictly by appointment ahead of time.

To purchase this house through our agency (ail property dev co), kindly WhatsApp or call 09090852826 to book a viewing appointment and for further enquiries/negotiation. Thank you!",280000000," Oniru, Victoria Island (VI), Lagos",08-Dec-21
Magnificent 4bedroom Semi Detached Duplex With Room Boys Quarters,"4 Bedrooms Semi-detached Duplex with BQ

Features:
- All Rooms Ensuite
-Pop Ceilings
- Fully Fitted Kitchen
- CCTV
- Walk-In Shower
- Jacuzzi
- Wardrobes
- Bq


Location: Oniru Victoria island
Price: N150m

Contact us
Stanley humble
+2348066953824
+2347018944511
@xpressletpropertynetwork
Xpressletpropertynetwork@gmail.com
Xpresslet.com",150000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Brand New Serviced Block Of Maisonettes And Apartments,"Luxury Maisonettes and Apartments for sale in a private and gated community, Oniru, Lekki.

Fully fitted and Serviced:
- 2nos of 4 Bedroom maisonettes with BQ and;
- 6nos of 3 Bedrooms apartments with BQ.

This block of Maisonettes and Apartments is suitable for property investors looking at high ROI.

Rent Survey:
2nos 4Bedroom Maisonettes with Bq = #30,000,000.00
6nos 3Bedroom with Bq = #48,000,000.00
Annual Expectations: #78,000,000.00

Best suits for expats Lodge or company guest House.

Features
- Swimming Pool
- Ample Parking Space
- Fully fitted kitchen
- Water Treatment
- Fitted A/C
- Functional GYM
- Elevator
- Dedicated Generator (250KVA)",900000000," Oniru, Victoria Island (VI), Lagos",11-Jun-21
Nice And Spacious 12 Bedroom Detached House With Bq In Victoria Island,"Nice and Spacious 12 bedroom detached house with Bq and 4 sitting room for sale in Victoria Island Lagos . It has enough parking space with easy access , good for any type of corporate office and commercial uses

Property - 12 bedroom detached house
Location - Victoria Island
Price - N1.3 Billion",1100000000," Victoria Island (VI), Lagos",01-Dec-21
Ongoing Project Of 6 Units Contemporary 6 Bedrooms,"PROJECT COMPLETION; MAY 2022

Luxury 6 Units of 6 bedroom Detached Duplex with Smart Home features located in Victoria Island , Sharing Fence with Kuramo Waters Hotel with close proximity to Ikoyi, Oniru and Lekki Expressway.

This Fully Detached Duplex contains 6 ensuite bedrooms with 1 maid room and fully fitted kitchen, 2 living rooms, swimming Pool in a very Beautiful and Serene Environment

Features:


10KVA Inverter & Solar Panel
Top-of-the-line finishing
Fitted with Air Conditioners
Swimming pool
Automatic gate system
Smart lighting
Smart locks
Fitted kitchen with gas cooker, fridge ,win chiller and heat extrator
All homes have separate fire hydrants for emergencies

Price: N 550,000,000

Project Completion : MAY 2022",550000000," Off Ligali Ayorinde, Victoria Island (VI), Lagos",23-Nov-20
Tastefully Finished 4 Bedroom Fully Detached Duplex + Bq,"TASTEFULLY FINISHED 4 BEDROOM FULLY DETACHED DUPLEX FOR SALE !!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- spacious compound 4 bedroom with bq
_. clean house
- gated estate
- 24hrs electricity
- Massive compound space
- spacious parking space
- very secured environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- 2 family setting rooms
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high quality cabinets
-exit door
- ensuite with toilet and bathroom
- separated dinning space
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",235000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
Newly Built 4 Bedroom Pent House Duplex + Bq,"NEWLY BUILT 4 BEDROOM DUPLEX FOR SALE!!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- 4 Bedroom duplex on the top most floor , the pent house duplex with bq
- clean house
- Elevator
- swimming pool
- gym
- 24hrs electricity
- very secure environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high-quality cabinets
- ensuite with toilet and bathroom
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",275000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
3 Bedroom Apartment With Bq,"HIGH-RISE LUXURY RESIDENCE IN VICTORIA ISLAND, LAND

This luxury development comprises of 3bedroom luxury flat apartments with BQ

Location: Victoria Island, Lagos

PRICE:
3bedroom apartment - from N200m.

Facilities include :
Fully fitted kitchen
Pre-installed Air-conditioners
Fitted wardrobes
Top notch security doors
CCTV
Elevators
Gym
BQ etc

Completion date: September 2022",200000000," Oniru, Victoria Island (VI), Lagos",03-Mar-22
Exquisite 5 Bedroom Fully Detached Duplex With Swimming Pool And Bq,"Elegant 5 BEDROOM FULLY DETACHED DUPLEX, SWIMMING POOL and A ROOM BQ is located in a serene and secured environment and features custom made bespoke finishing, spacious compound, stamp concrete floor, swimming pool, spacious living room and family lounge, all rooms en-suite, fitted kitchen, spacious master bedroom, water heaters, CCTV, inbuilt speakers, carport and BQ
----------------------------------
PRICE: N300million
------------------------------
LOCATION: Oniru, Lagos
TITLE: Governor's Consent",300000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Newly Built 4 Bedroom Terrace Duplex With Swimming Pool And A Room Bq,"Newly built 4 BEDROOM TERRACE DUPLEX WITH COMMUNAL SWIMMING POOL and A ROOM BQ is located in a serviced and secured environment.
It features custom made bespoke finishing, spacious compound, interlocked concrete floor, all rooms en-suite, fitted kitchen(washing machine, refrigerator, microwave, oven, pantries, etc), spacious master bedroom, water heaters, 24hours security and 1 boys quarter.
---------------------------------
PRICE:
BASIC FINISHING: N160million
FULLY COMPLETED: N210million
------------------------------
LOCATION: Victoria Island, Lagos
TITLE: Governor's Consent",160000000," Victoria Island (VI), Lagos",Yesterday
Well Finished 5 Bedroom Detached Duplex With Bq Swimming Pool & Fully,"WELL FINISHED 5 BEDROOM DETACHED DUPLEX WITH BQ SWIMMING POOL & FULLY FITTED KITCHEN

Please Note: Viewing of this property is strictly by appointment ahead of time.

To purchase this house through our agency (ail property dev co), kindly WhatsApp or call 09090852826 to book a viewing appointment and for further enquiries/negotiation. Thank you!",280000000," Oniru, Victoria Island (VI), Lagos",08-Dec-21
Magnificent 4bedroom Semi Detached Duplex With Room Boys Quarters,"4 Bedrooms Semi-detached Duplex with BQ

Features:
- All Rooms Ensuite
-Pop Ceilings
- Fully Fitted Kitchen
- CCTV
- Walk-In Shower
- Jacuzzi
- Wardrobes
- Bq


Location: Oniru Victoria island
Price: N150m

Contact us
Stanley humble
+2348066953824
+2347018944511
@xpressletpropertynetwork
Xpressletpropertynetwork@gmail.com
Xpresslet.com",150000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Brand New Serviced Block Of Maisonettes And Apartments,"Luxury Maisonettes and Apartments for sale in a private and gated community, Oniru, Lekki.

Fully fitted and Serviced:
- 2nos of 4 Bedroom maisonettes with BQ and;
- 6nos of 3 Bedrooms apartments with BQ.

This block of Maisonettes and Apartments is suitable for property investors looking at high ROI.

Rent Survey:
2nos 4Bedroom Maisonettes with Bq = #30,000,000.00
6nos 3Bedroom with Bq = #48,000,000.00
Annual Expectations: #78,000,000.00

Best suits for expats Lodge or company guest House.

Features
- Swimming Pool
- Ample Parking Space
- Fully fitted kitchen
- Water Treatment
- Fitted A/C
- Functional GYM
- Elevator
- Dedicated Generator (250KVA)",900000000," Oniru, Victoria Island (VI), Lagos",11-Jun-21
Nice And Spacious 12 Bedroom Detached House With Bq In Victoria Island,"Nice and Spacious 12 bedroom detached house with Bq and 4 sitting room for sale in Victoria Island Lagos . It has enough parking space with easy access , good for any type of corporate office and commercial uses

Property - 12 bedroom detached house
Location - Victoria Island
Price - N1.3 Billion",1100000000," Victoria Island (VI), Lagos",01-Dec-21
Ongoing Project Of 6 Units Contemporary 6 Bedrooms,"PROJECT COMPLETION; MAY 2022

Luxury 6 Units of 6 bedroom Detached Duplex with Smart Home features located in Victoria Island , Sharing Fence with Kuramo Waters Hotel with close proximity to Ikoyi, Oniru and Lekki Expressway.

This Fully Detached Duplex contains 6 ensuite bedrooms with 1 maid room and fully fitted kitchen, 2 living rooms, swimming Pool in a very Beautiful and Serene Environment

Features:


10KVA Inverter & Solar Panel
Top-of-the-line finishing
Fitted with Air Conditioners
Swimming pool
Automatic gate system
Smart lighting
Smart locks
Fitted kitchen with gas cooker, fridge ,win chiller and heat extrator
All homes have separate fire hydrants for emergencies

Price: N 550,000,000

Project Completion : MAY 2022",550000000," Off Ligali Ayorinde, Victoria Island (VI), Lagos",24-Nov-20
Tastefully Finished 4 Bedroom Fully Detached Duplex + Bq,"TASTEFULLY FINISHED 4 BEDROOM FULLY DETACHED DUPLEX FOR SALE !!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- spacious compound 4 bedroom with bq
_. clean house
- gated estate
- 24hrs electricity
- Massive compound space
- spacious parking space
- very secured environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- 2 family setting rooms
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high quality cabinets
-exit door
- ensuite with toilet and bathroom
- separated dinning space
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",235000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
Newly Built 4 Bedroom Pent House Duplex + Bq,"NEWLY BUILT 4 BEDROOM DUPLEX FOR SALE!!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- 4 Bedroom duplex on the top most floor , the pent house duplex with bq
- clean house
- Elevator
- swimming pool
- gym
- 24hrs electricity
- very secure environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high-quality cabinets
- ensuite with toilet and bathroom
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",275000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
3 Bedroom Apartment With Bq,"HIGH-RISE LUXURY RESIDENCE IN VICTORIA ISLAND, LAND

This luxury development comprises of 3bedroom luxury flat apartments with BQ

Location: Victoria Island, Lagos

PRICE:
3bedroom apartment - from N200m.

Facilities include :
Fully fitted kitchen
Pre-installed Air-conditioners
Fitted wardrobes
Top notch security doors
CCTV
Elevators
Gym
BQ etc

Completion date: September 2022",200000000," Oniru, Victoria Island (VI), Lagos",03-Mar-22
Exquisite 5 Bedroom Fully Detached Duplex With Swimming Pool And Bq,"Elegant 5 BEDROOM FULLY DETACHED DUPLEX, SWIMMING POOL and A ROOM BQ is located in a serene and secured environment and features custom made bespoke finishing, spacious compound, stamp concrete floor, swimming pool, spacious living room and family lounge, all rooms en-suite, fitted kitchen, spacious master bedroom, water heaters, CCTV, inbuilt speakers, carport and BQ
----------------------------------
PRICE: N300million
------------------------------
LOCATION: Oniru, Lagos
TITLE: Governor's Consent",300000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Newly Built 4 Bedroom Terrace Duplex With Swimming Pool And A Room Bq,"Newly built 4 BEDROOM TERRACE DUPLEX WITH COMMUNAL SWIMMING POOL and A ROOM BQ is located in a serviced and secured environment.
It features custom made bespoke finishing, spacious compound, interlocked concrete floor, all rooms en-suite, fitted kitchen(washing machine, refrigerator, microwave, oven, pantries, etc), spacious master bedroom, water heaters, 24hours security and 1 boys quarter.
---------------------------------
PRICE:
BASIC FINISHING: N160million
FULLY COMPLETED: N210million
------------------------------
LOCATION: Victoria Island, Lagos
TITLE: Governor's Consent",160000000," Victoria Island (VI), Lagos",Yesterday
Well Finished 5 Bedroom Detached Duplex With Bq Swimming Pool & Fully,"WELL FINISHED 5 BEDROOM DETACHED DUPLEX WITH BQ SWIMMING POOL & FULLY FITTED KITCHEN

Please Note: Viewing of this property is strictly by appointment ahead of time.

To purchase this house through our agency (ail property dev co), kindly WhatsApp or call 09090852826 to book a viewing appointment and for further enquiries/negotiation. Thank you!",280000000," Oniru, Victoria Island (VI), Lagos",08-Dec-21
Magnificent 4bedroom Semi Detached Duplex With Room Boys Quarters,"4 Bedrooms Semi-detached Duplex with BQ

Features:
- All Rooms Ensuite
-Pop Ceilings
- Fully Fitted Kitchen
- CCTV
- Walk-In Shower
- Jacuzzi
- Wardrobes
- Bq


Location: Oniru Victoria island
Price: N150m

Contact us
Stanley humble
+2348066953824
+2347018944511
@xpressletpropertynetwork
Xpressletpropertynetwork@gmail.com
Xpresslet.com",150000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Brand New Serviced Block Of Maisonettes And Apartments,"Luxury Maisonettes and Apartments for sale in a private and gated community, Oniru, Lekki.

Fully fitted and Serviced:
- 2nos of 4 Bedroom maisonettes with BQ and;
- 6nos of 3 Bedrooms apartments with BQ.

This block of Maisonettes and Apartments is suitable for property investors looking at high ROI.

Rent Survey:
2nos 4Bedroom Maisonettes with Bq = #30,000,000.00
6nos 3Bedroom with Bq = #48,000,000.00
Annual Expectations: #78,000,000.00

Best suits for expats Lodge or company guest House.

Features
- Swimming Pool
- Ample Parking Space
- Fully fitted kitchen
- Water Treatment
- Fitted A/C
- Functional GYM
- Elevator
- Dedicated Generator (250KVA)",900000000," Oniru, Victoria Island (VI), Lagos",11-Jun-21
Nice And Spacious 12 Bedroom Detached House With Bq In Victoria Island,"Nice and Spacious 12 bedroom detached house with Bq and 4 sitting room for sale in Victoria Island Lagos . It has enough parking space with easy access , good for any type of corporate office and commercial uses

Property - 12 bedroom detached house
Location - Victoria Island
Price - N1.3 Billion",1100000000," Victoria Island (VI), Lagos",01-Dec-21
Ongoing Project Of 6 Units Contemporary 6 Bedrooms,"PROJECT COMPLETION; MAY 2022

Luxury 6 Units of 6 bedroom Detached Duplex with Smart Home features located in Victoria Island , Sharing Fence with Kuramo Waters Hotel with close proximity to Ikoyi, Oniru and Lekki Expressway.

This Fully Detached Duplex contains 6 ensuite bedrooms with 1 maid room and fully fitted kitchen, 2 living rooms, swimming Pool in a very Beautiful and Serene Environment

Features:


10KVA Inverter & Solar Panel
Top-of-the-line finishing
Fitted with Air Conditioners
Swimming pool
Automatic gate system
Smart lighting
Smart locks
Fitted kitchen with gas cooker, fridge ,win chiller and heat extrator
All homes have separate fire hydrants for emergencies

Price: N 550,000,000

Project Completion : MAY 2022",550000000," Off Ligali Ayorinde, Victoria Island (VI), Lagos",25-Nov-20
Tastefully Finished 4 Bedroom Fully Detached Duplex + Bq,"TASTEFULLY FINISHED 4 BEDROOM FULLY DETACHED DUPLEX FOR SALE !!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- spacious compound 4 bedroom with bq
_. clean house
- gated estate
- 24hrs electricity
- Massive compound space
- spacious parking space
- very secured environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- 2 family setting rooms
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high quality cabinets
-exit door
- ensuite with toilet and bathroom
- separated dinning space
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",235000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
Newly Built 4 Bedroom Pent House Duplex + Bq,"NEWLY BUILT 4 BEDROOM DUPLEX FOR SALE!!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- 4 Bedroom duplex on the top most floor , the pent house duplex with bq
- clean house
- Elevator
- swimming pool
- gym
- 24hrs electricity
- very secure environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high-quality cabinets
- ensuite with toilet and bathroom
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",275000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
3 Bedroom Apartment With Bq,"HIGH-RISE LUXURY RESIDENCE IN VICTORIA ISLAND, LAND

This luxury development comprises of 3bedroom luxury flat apartments with BQ

Location: Victoria Island, Lagos

PRICE:
3bedroom apartment - from N200m.

Facilities include :
Fully fitted kitchen
Pre-installed Air-conditioners
Fitted wardrobes
Top notch security doors
CCTV
Elevators
Gym
BQ etc

Completion date: September 2022",200000000," Oniru, Victoria Island (VI), Lagos",03-Mar-22
Exquisite 5 Bedroom Fully Detached Duplex With Swimming Pool And Bq,"Elegant 5 BEDROOM FULLY DETACHED DUPLEX, SWIMMING POOL and A ROOM BQ is located in a serene and secured environment and features custom made bespoke finishing, spacious compound, stamp concrete floor, swimming pool, spacious living room and family lounge, all rooms en-suite, fitted kitchen, spacious master bedroom, water heaters, CCTV, inbuilt speakers, carport and BQ
----------------------------------
PRICE: N300million
------------------------------
LOCATION: Oniru, Lagos
TITLE: Governor's Consent",300000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Newly Built 4 Bedroom Terrace Duplex With Swimming Pool And A Room Bq,"Newly built 4 BEDROOM TERRACE DUPLEX WITH COMMUNAL SWIMMING POOL and A ROOM BQ is located in a serviced and secured environment.
It features custom made bespoke finishing, spacious compound, interlocked concrete floor, all rooms en-suite, fitted kitchen(washing machine, refrigerator, microwave, oven, pantries, etc), spacious master bedroom, water heaters, 24hours security and 1 boys quarter.
---------------------------------
PRICE:
BASIC FINISHING: N160million
FULLY COMPLETED: N210million
------------------------------
LOCATION: Victoria Island, Lagos
TITLE: Governor's Consent",160000000," Victoria Island (VI), Lagos",Yesterday
Well Finished 5 Bedroom Detached Duplex With Bq Swimming Pool & Fully,"WELL FINISHED 5 BEDROOM DETACHED DUPLEX WITH BQ SWIMMING POOL & FULLY FITTED KITCHEN

Please Note: Viewing of this property is strictly by appointment ahead of time.

To purchase this house through our agency (ail property dev co), kindly WhatsApp or call 09090852826 to book a viewing appointment and for further enquiries/negotiation. Thank you!",280000000," Oniru, Victoria Island (VI), Lagos",08-Dec-21
Magnificent 4bedroom Semi Detached Duplex With Room Boys Quarters,"4 Bedrooms Semi-detached Duplex with BQ

Features:
- All Rooms Ensuite
-Pop Ceilings
- Fully Fitted Kitchen
- CCTV
- Walk-In Shower
- Jacuzzi
- Wardrobes
- Bq


Location: Oniru Victoria island
Price: N150m

Contact us
Stanley humble
+2348066953824
+2347018944511
@xpressletpropertynetwork
Xpressletpropertynetwork@gmail.com
Xpresslet.com",150000000," Oniru, Victoria Island (VI), Lagos",Yesterday
Brand New Serviced Block Of Maisonettes And Apartments,"Luxury Maisonettes and Apartments for sale in a private and gated community, Oniru, Lekki.

Fully fitted and Serviced:
- 2nos of 4 Bedroom maisonettes with BQ and;
- 6nos of 3 Bedrooms apartments with BQ.

This block of Maisonettes and Apartments is suitable for property investors looking at high ROI.

Rent Survey:
2nos 4Bedroom Maisonettes with Bq = #30,000,000.00
6nos 3Bedroom with Bq = #48,000,000.00
Annual Expectations: #78,000,000.00

Best suits for expats Lodge or company guest House.

Features
- Swimming Pool
- Ample Parking Space
- Fully fitted kitchen
- Water Treatment
- Fitted A/C
- Functional GYM
- Elevator
- Dedicated Generator (250KVA)",900000000," Oniru, Victoria Island (VI), Lagos",11-Jun-21
Nice And Spacious 12 Bedroom Detached House With Bq In Victoria Island,"Nice and Spacious 12 bedroom detached house with Bq and 4 sitting room for sale in Victoria Island Lagos . It has enough parking space with easy access , good for any type of corporate office and commercial uses

Property - 12 bedroom detached house
Location - Victoria Island
Price - N1.3 Billion",1100000000," Victoria Island (VI), Lagos",01-Dec-21
Ongoing Project Of 6 Units Contemporary 6 Bedrooms,"PROJECT COMPLETION; MAY 2022

Luxury 6 Units of 6 bedroom Detached Duplex with Smart Home features located in Victoria Island , Sharing Fence with Kuramo Waters Hotel with close proximity to Ikoyi, Oniru and Lekki Expressway.

This Fully Detached Duplex contains 6 ensuite bedrooms with 1 maid room and fully fitted kitchen, 2 living rooms, swimming Pool in a very Beautiful and Serene Environment

Features:


10KVA Inverter & Solar Panel
Top-of-the-line finishing
Fitted with Air Conditioners
Swimming pool
Automatic gate system
Smart lighting
Smart locks
Fitted kitchen with gas cooker, fridge ,win chiller and heat extrator
All homes have separate fire hydrants for emergencies

Price: N 550,000,000

Project Completion : MAY 2022",550000000," Off Ligali Ayorinde, Victoria Island (VI), Lagos",26-Nov-20
Tastefully Finished 4 Bedroom Fully Detached Duplex + Bq,"TASTEFULLY FINISHED 4 BEDROOM FULLY DETACHED DUPLEX FOR SALE !!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- spacious compound 4 bedroom with bq
_. clean house
- gated estate
- 24hrs electricity
- Massive compound space
- spacious parking space
- very secured environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- 2 family setting rooms
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high quality cabinets
-exit door
- ensuite with toilet and bathroom
- separated dinning space
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",235000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
Newly Built 4 Bedroom Pent House Duplex + Bq,"NEWLY BUILT 4 BEDROOM DUPLEX FOR SALE!!!
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY
- 4 Bedroom duplex on the top most floor , the pent house duplex with bq
- clean house
- Elevator
- swimming pool
- gym
- 24hrs electricity
- very secure environment
- good access road
- standard double drainage
- modern designed
- ample parking space
- balconies upstairs
- Spacious fitted kitchen
-5 burner gas cooker
-heat extractor
-microwave
-oven
-store
-high-quality cabinets
- ensuite with toilet and bathroom
- clean water
VERY IMPORTANT AFTER THE PICTURES CLICK AND WATCH THE VIDEO FOR BETTER VIEWING OF THE PROPERTY

Visit our website for more properties: www.azrieliproperty.com",275000000," Oniru, Victoria Island (VI), Lagos",18-Feb-22
3 Bedroom Apartment With Bq,"HIGH-RISE LUXURY RESIDENCE IN VICTORIA ISLAND, LAND

This luxury development comprises of 3bedroom luxury flat apartments with BQ

Location: Victoria Island, Lagos

PRICE:
3bedroom apartment - from N200m.

Facilities include :
Fully fitted kitchen
Pre-installed Air-conditioners
Fitted wardrobes
Top notch security doors
CCTV
Elevators
Gym
BQ etc

Completion date: September 2022",200000000," Oniru, Victoria Island (VI), Lagos",03-Mar-22
